0,PU,2013,,първи курс,втори курс,трети курс,четвърти курс,пети курс
56,PU,2014,Лингвистика с маркетинг (проф. направление Филология),44,23,0,0,0
57,PU,2014,Приложна лингвистика (английски език с втори чужд език) (проф. направление Филология),111,2,2,0,0
58,PU,2014,Приложна лингвистика (немски език с втори чужд език) (проф. направление Филология),16,1,0,0,0
59,PU,2014,Приложна лингвистика (френски език с втори чужд език) (проф. направление Филология),14,0,1,0,0
60,PU,2014,Лингвистика с бизнес администрация (проф. направление Филология),47,0,0,0,0
61,PU,2014,Археология (проф. направление История и археология),17,15,15,13,0
62,PU,2014,История (проф. направление История и археология),38,37,19,21,0
63,PU,2014,Философия (проф. направление Философия),26,23,22,21,0
64,PU,2014,Теология (проф. направление Религия и теология),31,21,18,22,0
65,PU,2014,"Етнология (проф. направление Социология антропология и науки за културата)",8,11,8,13,0
66,PU,2014,"Социология (проф. направление Социология антропология и науки за културата)",0,0,0,26,0
67,PU,2014,"Социална антропология (проф. направление Социология антропология и науки за културата)",23,16,9,17,0
68,PU,2014,"Социология и науки за човека (проф. направление Социология антропология и науки за културата)",34,14,20,0,0
69,PU,2014,"Социология на правото икономиката и иновациите (проф. направление Социология антропология и науки за културата)",48,35,31,0,0
70,PU,2014,Психология (проф. направление Психология),160,152,120,141,2
71,PU,2014,Политология (проф. направление Политически науки),26,53,47,31,0
72,PU,2014,Социални дейности (проф. направление Социални дейности),51,44,28,27,0
73,PU,2014,Стопанско управление (проф. направление Администрация и управление),148,168,76,121,0
74,PU,2014,Макроикономика (проф. направление Икономика),65,63,65,83,0
75,PU,2014,Маркетинг (проф. направление Икономика),112,116,97,121,0
76,PU,2014,Международни икономически отношения (проф. направление Икономика),70,77,56,80,0
77,PU,2014,Финанси (проф. направление Икономика),117,127,88,0,0
78,PU,2014,Инженерна физика (проф. направление Физически науки),42,48,9,16,0
79,PU,2014,Информационна физика и комуникации (проф. направление Физически науки),0,0,20,18,0
80,PU,2014,Медицинска физика (проф. направление Физически науки),0,1,10,15,0
81,PU,2014,Телекомуникации с мениджмънт (проф. направление Физически науки),44,30,0,0,0
82,PU,2014,Информационна физика и телекомуникации (проф. направление Физически науки),18,15,0,0,0
83,PU,2014,Компютърна химия (проф. направление Химически науки),0,2,14,12,0
84,PU,2014,Химия (проф. направление Химически науки),17,24,16,30,0
85,PU,2014,Медицинска химия (проф. направление Химически науки),45,40,40,28,0
86,PU,2014,Химия и маркетинг (проф. направление Химически науки),16,15,25,14,0
87,PU,2014,Химия с английски език (проф. направление Химически науки),0,0,8,0,0
88,PU,2014,Анализ и контрол (проф. направление Химически науки),14,0,0,0,0
89,PU,2014,Биология (проф. направление Биологически науки),56,47,50,39,0
90,PU,2014,Екология и опазване на околната среда (проф. направление Биологически науки),63,49,45,42,0
91,PU,2014,Молекулярна биология (проф. направление Биологически науки),43,38,33,33,0
92,PU,2014,Биоинформатика (проф. направление Биологически науки),17,18,21,18,0
93,PU,2014,Медицинска биология (проф. направление Биологически науки),45,37,46,46,0
94,PU,2014,Екология на биотехнологичните производства (проф. направление Биологически науки),19,12,17,20,0
95,PU,2014,Математика (проф. направление Математика),3,5,1,7,0
96,PU,2014,Приложна математика (проф. направление Математика),3,0,7,3,0
97,PU,2014,Бизнес математика (проф. направление Математика),9,7,7,0,0
98,PU,2014,Информатика (проф. направление Информатика и компютърни науки),159,113,112,108,0
99,PU,2014,Бизнес информационни технологии (проф. направление Информатика и компютърни науки),162,123,140,148,0
100,PU,2014,Софтуерни технологии и дизайн (проф. направление Информатика и компютърни науки),173,168,0,0,0
101,PU,2014,Телематика (проф. направление Комуникационна и компютърна техника),26,0,0,0,0
102,PU,2014,Поп и джаз пеене (проф. направление Музикално и танцово изкуство),9,13,14,7,0
103,PU,2014,Музика (проф. направление Музикално и танцово изкуство),14,12,0,0,0
104,PU,2014,Актьорство за драматичен театър (проф. направление Театрално и филмово изкуство),17,14,10,11,0
0,PU,2015,,първи курс,втори курс,трети курс,четвърти курс,пети курс
1,PU,2015,Начална училищна педагогика и чужд език (проф. направление Педагогика),50,51,59,82,0
2,PU,2015,Педагогика (проф. направление Педагогика),33,24,32,27,0
3,PU,2015,Предучилищна и начална училищна педагогика (проф. направление Педагогика),131,130,122,93,1
4,PU,2015,Предучилищна педагогика и чужд език (проф. направление Педагогика),42,42,33,35,0
5,PU,2015,Социална педагогика (проф. направление Педагогика),44,40,40,45,0
6,PU,2015,Специална педагогика (проф. направление Педагогика),40,34,42,39,0
7,PU,2015,Начална училищна педагогика (проф. направление Педагогика),18,0,0,0,0
8,PU,2015,Педагогика на обучението по биология и физика (проф. направление Педагогика на обучението по ...),0,0,0,4,0
9,PU,2015,Педагогика на обучението по изобразително изкуство (проф. направление Педагогика на обучението по ...),23,16,9,11,0
10,PU,2015,Педагогика на обучението по музика (проф. направление Педагогика на обучението по ...),10,8,10,16,0
11,PU,2015,Български език и Английски език (проф. направление Педагогика на обучението по ...),12,10,16,28,0
12,PU,2015,Английски език и физика (проф. направление Педагогика на обучението по ...),0,0,0,1,0
13,PU,2015,Биология и английски език (проф. направление Педагогика на обучението по ...),14,19,17,13,0
14,PU,2015,"Информационни технологии математика и образователен мениджмънт (проф. направление Педагогика на обучението по ...)",18,14,0,0,0
15,PU,2015,Математика и информатика (проф. направление Педагогика на обучението по ...),27,21,5,13,0
16,PU,2015,Български език и история (проф. направление Педагогика на обучението по ...),61,37,38,36,0
17,PU,2015,Физика и математика (проф. направление Педагогика на обучението по ...),0,0,0,5,0
18,PU,2015,Химия и физика (проф. направление Педагогика на обучението по ...),0,0,0,4,0
19,PU,2015,Български език и италиански език (проф. направление Педагогика на обучението по ...),16,12,10,12,0
20,PU,2015,Български език и руски език (проф. направление Педагогика на обучението по ...),13,0,11,15,0
